Layer 1			
phi	   kx	          ky	            kz
0.31336	1009.99490	302.99847	553.19699
0.29446	1067.01844	320.10553	584.43007
0.27382	1011.94721	303.58416	554.26631
0.27437	951.27870	285.38361	521.03680
0.27638	996.42865	298.92860	545.76645
0.25173	810.81427	243.24428	444.10127
0.25947	936.16619	280.84986	512.75934
0.27878	1001.88716	300.56615	548.75620
0.28316	1077.38067	323.21420	590.10570
0.27009	989.72382	296.91715	542.09406
0.23627	856.24387	256.87316	468.98408
0.23910	874.92718	262.47815	479.21735
0.24349	810.76807	243.23042	444.07596
0.22538	582.71963	174.81589	319.16869
0.25905	748.97656	224.69297	410.23136
0.26626	859.54175	257.86253	470.79041
0.28261	929.86789	278.96037	509.30962
0.27213	887.81815	266.34545	486.27803
0.27589	1009.79440	302.93832	553.08717
0.31101	1062.03293	318.60988	581.69939
0.30633	907.23746	272.17124	496.91442
0.30204	954.08860	286.22658	522.57585
0.29243	1092.30655	327.69197	598.28094
0.24768	1020.72838	306.21851	559.07596
0.25971	1023.40018	307.02005	560.53936
0.27749	912.70058	273.81017	499.90670
0.24852	880.13359	264.04008	482.06902
0.27463	1013.31442	303.99433	555.01517
0.28297	1050.49274	315.14782	575.37857
0.29387	1051.64430	315.49329	576.00931
0.26530	1025.25188	307.57556	561.55358
0.25259	832.10028	249.63008	455.76009
0.24011	879.82096	263.94629	481.89779
0.24198	761.89828	228.56948	417.30887
0.22023	621.78128	186.53438	340.56363
0.25374	634.59249	190.37775	347.58062
0.25705	744.61967	223.38590	407.84499
0.27952	935.27344	280.58203	512.27036
0.27926	941.29541	282.38862	515.56873
0.30336	953.97181	286.19154	522.51188
0.31477	1045.13166	313.53950	572.44219
0.30292	973.62822	292.08847	533.27814
0.30333	963.17302	288.95191	527.55159
0.27711	996.10233	298.83070	545.58772
0.23700	899.68928	269.90678	492.78011
0.25794	1063.47839	319.04352	582.49110
0.25915	1020.45290	306.13587	558.92507
0.26784	922.37590	276.71277	505.20609
0.26799	986.39414	295.91824	540.27032
0.30814	1075.37050	322.61115	589.00468
0.27459	1119.19346	335.75804	613.00750
0.28049	1097.35818	329.20745	601.04783
0.25291	973.15461	291.94638	533.01873
0.23792	610.52104	183.15631	334.39615
0.21825	631.86488	189.55946	346.08665
0.21303	471.47534	141.44260	258.23768
0.24807	622.86216	186.85865	341.15566
0.24843	732.20638	219.66191	401.04595
0.23806	801.86305	240.55892	439.19848
0.26505	999.51337	299.85401	547.45602
0.30127	970.76012	291.22804	531.70722
0.30853	983.19545	294.95864	538.51833
0.30485	905.58134	271.67440	496.00733
0.26723	760.19111	228.05733	416.37382
0.27166	867.68139	260.30442	475.24867
0.25225	959.28923	287.78677	525.42435
0.27513	1046.53552	313.96066	573.21111
0.25857	998.86961	299.66088	547.10342
0.28536	946.63344	283.99003	518.49249
0.30958	1040.88734	312.26620	570.11748
0.29482	1117.08171	335.12451	611.85085
0.28988	1253.66766	376.10030	686.66206
0.28280	1164.11694	349.23508	637.61311
0.25397	497.34988	149.20496	272.40975
0.21424	533.61128	160.08338	292.27093
0.22125	582.30812	174.69244	318.94329
0.21392	594.26999	178.28100	325.49508
0.22860	607.17066	182.15120	332.56107
0.25839	822.35182	246.70555	450.42064
0.28325	900.86628	270.25988	493.42478
0.27953	918.27599	275.48280	502.96047
0.29141	990.75839	297.22752	542.66072
0.30460	930.84497	279.25349	509.84479
0.31745	944.91490	283.47447	517.55121
0.26234	783.17499	234.95250	428.96261
0.26219	844.42628	253.32788	462.51132
0.29349	1065.58884	319.67665	583.64704
0.29612	1043.35569	313.00671	571.46945
0.25862	955.06644	286.51993	523.11143
0.26271	845.01872	253.50562	462.83581
0.30203	1060.46907	318.14072	580.84283
0.31910	1146.58290	343.97487	628.00932
0.29295	1219.99194	365.99758	668.21711
0.24067	382.08627	114.62588	209.27727
0.26221	453.87794	136.16338	248.59919
0.24038	568.01092	170.40328	311.11239
0.23691	654.78397	196.43519	358.63995
0.20316	631.97485	189.59246	346.14688
0.24796	732.92395	219.87719	401.43898
0.26469	803.90044	241.17013	440.31440
0.27476	936.85542	281.05663	513.13685
0.27707	849.20614	254.76184	465.12936
0.29302	942.24445	282.67334	516.08854
0.31880	986.18766	295.85630	540.15723
0.32040	1030.03259	309.00978	564.17208
0.28858	947.30249	284.19075	518.85894
0.25095	833.60864	250.08259	456.58626
0.28296	949.18677	284.75603	519.89101
0.29267	1125.56900	337.67070	616.49953
0.27712	966.48220	289.94466	529.36410
0.28758	885.60510	265.68153	485.06589
0.28121	973.36810	292.01043	533.13567
0.29354	1117.49307	335.24792	612.07616
0.22459	351.19799	105.35940	192.35906
0.24287	396.29483	118.88845	217.05962
0.26245	532.48709	159.74613	291.65519
0.25928	639.49993	191.84998	350.26854
0.23321	647.14569	194.14371	354.45629
0.23684	659.53592	197.86078	361.24270
0.24983	746.38790	223.91637	408.81349
0.26998	851.89044	255.56713	466.59961
0.27633	844.95597	253.48679	462.80144
0.26310	779.80581	233.94174	427.11723
0.26115	805.30146	241.59044	441.08178
0.31075	968.34129	290.50239	530.38237
0.30810	1054.69663	316.40899	577.68114
0.29312	997.33713	299.20114	546.26404
0.27102	935.67555	280.70267	512.49061
0.28199	863.18891	258.95667	472.78804
0.27588	1046.19939	313.85982	573.02701
0.27272	951.32770	285.39831	521.06364
0.26218	839.69504	251.90851	459.91991
0.27908	930.39442	279.11833	509.59801
0.19551	409.82171	122.94651	224.46860
0.23375	443.39428	133.01828	242.85705
0.22690	339.09501	101.72850	185.72999
0.24088	467.49882	140.24965	256.05965
0.26234	659.08148	197.72444	360.99379
0.27607	771.00786	231.30236	422.29840
0.23918	556.22351	166.86705	304.65616
0.27942	799.15085	239.74526	437.71295
0.28251	758.72004	227.61601	415.56808
0.28755	747.85349	224.35605	409.61623
0.25170	719.66663	215.89999	394.17765
0.27302	854.37702	256.31311	467.96157
0.29652	980.21196	294.06359	536.88420
0.28960	986.69068	296.00720	540.43274
0.29606	1032.06133	309.61840	565.28327
0.28636	897.37933	269.21380	491.51490
0.28162	841.45786	252.43736	460.88545
0.27806	892.90033	267.87010	489.06165
0.26285	906.46952	271.94086	496.49380
0.26450	856.36375	256.90913	469.04974
0.15302	277.64400	83.29320	152.07188
0.18632	462.34887	138.70466	253.23891
0.22560	458.36318	137.50895	251.05585
0.22847	413.26121	123.97836	226.35249
0.26223	512.73443	153.82033	280.83621
0.25371	590.11913	177.03574	323.22156
0.27533	735.03272	220.50982	402.59400
0.26175	632.29962	189.68989	346.32476
0.26064	724.52660	217.35798	396.83956
0.25006	726.05803	217.81741	397.67836
0.28198	759.34480	227.80344	415.91028
0.26215	718.18152	215.45446	393.36422
0.25151	781.26146	234.37844	427.91452
