Layer 3			
phi	   kx	          ky	                  kz
0.29417	507.72394	152.31718	278.09185
0.27186	497.05576	149.11673	272.24865
0.30407	614.09203	184.22761	336.35206
0.28072	630.24243	189.07273	345.19800
0.25461	552.81475	165.84443	302.78911
0.28843	602.94541	180.88362	330.24680
0.26462	561.57789	168.47337	307.58888
0.27840	599.88798	179.96639	328.57218
0.27316	517.10884	155.13265	283.23218
0.26341	433.34335	130.00301	237.35193
0.29442	457.12462	137.13739	250.37747
0.32877	425.72903	127.71871	233.18139
0.29318	298.83801	89.65140	163.68032
0.30447	321.74604	96.52381	176.22756
0.34374	284.15952	85.24786	155.64058
0.32621	323.99562	97.19869	177.45971
0.26988	367.74698	110.32409	201.42332
0.22633	414.99274	124.49782	227.30088
0.26050	496.21562	148.86469	271.78849
0.30121	520.47885	156.14366	285.07801
0.29091	562.68945	168.80684	308.19770
0.27802	442.19833	132.65950	242.20200
0.30220	628.41372	188.52412	344.19637
0.31057	648.57012	194.57104	355.23648
0.25396	561.44730	168.43419	307.51735
0.27386	539.83714	161.95114	295.68098
0.27530	609.05611	182.71683	333.59377
0.25086	501.75090	150.52527	274.82029
0.28918	651.86795	195.56039	357.04278
0.27586	454.70339	136.41102	249.05130
0.28578	399.43894	119.83168	218.78172
0.32523	496.74116	149.02235	272.07634
0.31753	380.80444	114.24133	208.57518
0.26462	283.49986	85.04996	155.27927
0.36538	334.90710	100.47213	183.43617
0.34885	294.93322	88.47997	161.54158
0.29794	345.90015	103.77005	189.45731
0.18977	349.01247	104.70374	191.16200
0.24029	380.57481	114.17244	208.44941
0.26236	453.14474	135.94342	248.19760
0.29721	521.37805	156.41342	285.57052
0.28767	431.52562	129.45769	236.35632
0.27532	533.17096	159.95129	292.02976
0.29782	606.88768	182.06630	332.40607
0.26581	566.36360	169.90908	310.21012
0.24743	463.69924	139.10977	253.97853
0.32633	723.62420	217.08726	396.34530
0.27030	555.96356	166.78907	304.51378
0.27891	573.14050	171.94215	313.92198
0.22595	461.61970	138.48591	252.83952
0.27092	448.40696	134.52209	245.60261
0.31977	437.41282	131.22385	239.58087
0.32810	427.26191	128.17857	234.02099
0.25014	284.16413	85.24924	155.64310
0.30351	275.59419	82.67826	150.94915
0.37502	327.35816	98.20745	179.30145
0.29958	317.84506	95.35352	174.09091
0.21073	282.65633	84.79690	154.81725
0.20865	382.12459	114.63738	209.29826
0.27446	487.77932	146.33380	267.16774
0.28032	583.57228	175.07168	319.63570
0.27714	425.79188	127.73756	233.21582
0.28430	469.69823	140.90947	257.26432
0.31245	609.09577	182.72873	333.61549
0.26370	527.85998	158.35799	289.12082
0.28263	522.86424	156.85927	286.38454
0.32064	662.01445	198.60434	362.60025
0.28052	533.15629	159.94689	292.02173
0.27591	551.33455	165.40037	301.97837
0.24393	505.88519	151.76556	277.08473
0.28962	509.10824	152.73247	278.85007
0.30861	450.57649	135.17295	246.79091
0.33352	420.39506	126.11852	230.25986
0.27193	296.66413	88.99924	162.48964
0.28417	244.25419	73.27626	133.78353
0.35182	379.81763	113.94529	208.03468
0.33126	268.25549	80.47665	146.92958
0.23525	334.67441	100.40232	183.30872
0.16705	277.78582	83.33575	152.14956
0.23796	431.68498	129.50549	236.44360
0.27298	521.68456	156.50537	285.73840
0.29933	513.16568	153.94970	281.07242
0.26442	444.11754	133.23526	243.25319
0.30012	591.86411	177.55923	324.17732
0.30834	634.53471	190.36041	347.54897
0.29064	487.94011	146.38203	267.25580
0.28797	546.44322	163.93297	299.29928
0.29539	562.84601	168.85380	308.28346
0.25221	512.93235	153.87971	280.94462
0.24818	514.84086	154.45226	281.98995
0.24996	465.52593	139.65778	254.97905
0.28228	383.54033	115.06210	210.07369
0.30487	407.94746	122.38424	223.44203
0.29513	355.08413	106.52524	194.48759
0.26598	243.09336	72.92801	133.14772
0.32260	324.12548	97.23764	177.53084
0.35889	313.10923	93.93277	171.49699
0.27007	340.74352	102.22306	186.63291
0.16951	272.64457	81.79337	149.33358
0.19812	425.48682	127.64605	233.04873
0.27541	550.37958	165.11387	301.45531
0.28200	451.38930	135.41679	247.23610
0.28279	445.07919	133.52376	243.77991
0.28780	490.75141	147.22542	268.79562
0.33142	636.97581	191.09274	348.88602
0.27521	490.38481	147.11544	268.59482
0.28233	546.02956	163.80887	299.07271
0.29375	678.60892	203.58268	371.68941
0.24988	519.96494	155.98948	284.79653
0.26960	496.71135	149.01341	272.06001
0.20533	455.43291	136.62987	249.45088
0.28679	469.04900	140.71470	256.90872
0.28292	355.12869	106.53861	194.51199
0.29158	330.70361	99.21108	181.13383
0.28797	344.86639	103.45992	188.89110
0.27702	268.93742	80.68123	147.30309
0.34027	320.75119	96.22536	175.68266
0.27214	277.07781	83.12334	151.76177
0.18929	298.90952	89.67286	163.71949
0.15026	289.04131	86.71239	158.31445
0.24296	456.15918	136.84775	249.84867
0.26681	483.70286	145.11086	264.93497
0.28637	460.44014	138.13204	252.19345
0.30063	496.43083	148.92925	271.90636
0.28110	576.81238	173.04371	315.93315
