Layer 2			
phi	   kx	           ky	         kz
0.21129	650.91532	195.27460	356.52100
0.17136	504.95825	151.48748	276.57702
0.17805	659.08624	197.72587	360.99640
0.18229	741.43172	222.42952	406.09888
0.18820	697.90412	209.37124	382.25783
0.18706	697.94282	209.38285	382.27903
0.20820	768.86984	230.66095	421.12736
0.25239	864.95241	259.48572	473.75395
0.32029	978.04263	293.41279	535.69601
0.29764	758.40269	227.52081	415.39426
0.29442	615.95765	184.78730	337.37390
0.27076	448.07928	134.42378	245.42313
0.25935	349.82074	104.94622	191.60471
0.24204	455.78195	136.73459	249.64206
0.24615	496.04548	148.81364	271.69530
0.25066	637.18674	191.15602	349.00155
0.23529	579.24377	173.77313	317.26488
0.25701	603.49943	181.04983	330.55025
0.20388	429.76050	128.92815	235.38952
0.23836	679.79526	203.93858	372.33920
0.21869	673.64392	202.09318	368.96997
0.22204	594.75369	178.42611	325.76001
0.17397	532.89283	159.86785	291.87742
0.18426	686.94185	206.08256	376.25355
0.18749	835.00567	250.50170	457.35144
0.18108	709.35051	212.80515	388.52728
0.18176	762.01365	228.60410	417.37207
0.18828	777.71324	233.31397	425.97108
0.29676	955.52692	286.65808	523.36365
0.31330	961.40073	288.42022	526.58087
0.29725	776.88187	233.06456	425.51572
0.27962	555.86149	166.75845	304.45788
0.29477	491.46834	147.44050	269.18830
0.24468	303.97477	91.19243	166.49384
0.24743	355.04947	106.51484	194.46860
0.24864	473.68482	142.10545	259.44786
0.27391	699.55045	209.86514	383.15956
0.26531	606.00293	181.80088	331.92147
0.25646	524.14173	157.24252	287.08425
0.26774	833.69686	250.10906	456.63458
0.22203	685.80963	205.74289	375.63340
0.21395	708.20294	212.46088	387.89873
0.18563	484.02429	145.20729	265.11102
0.17616	556.11351	166.83405	304.59591
0.20885	766.32678	229.89803	419.73446
0.18926	759.88099	227.96430	416.20396
0.19191	733.79010	220.13703	401.91339
0.18778	828.00838	248.40251	453.51887
0.22583	877.61058	263.28317	480.68711
0.27939	958.66061	287.59818	525.08004
0.29287	807.84652	242.35396	442.47576
0.28590	722.06770	216.62031	395.49277
0.27475	531.32426	159.39728	291.01828
0.26054	445.99585	133.79876	244.28199
0.25234	377.92764	113.37829	206.99949
0.27800	436.23267	130.86980	238.93447
0.26408	497.56085	149.26826	272.52530
0.29365	655.89118	196.76735	359.24639
0.27340	507.08606	152.12582	277.74247
0.27300	789.93581	236.98074	432.66566
0.27233	801.16457	240.34937	438.81591
0.21781	652.90014	195.87004	357.60813
0.21545	597.05799	179.11740	327.02213
0.18131	530.26778	159.08033	290.43962
0.18403	695.44877	208.63463	380.91298
0.21315	782.57264	234.77179	428.63269
0.20702	689.46196	206.83859	377.63387
0.18564	763.77537	229.13261	418.33700
0.20205	849.06228	254.71868	465.05056
0.25712	1002.84026	300.85208	549.27823
0.27587	912.71710	273.81513	499.91574
0.27260	673.78726	202.13618	369.04848
0.28556	672.12370	201.63711	368.13731
0.28281	547.99183	164.39755	300.14749
0.26711	462.94219	138.88266	253.56388
0.25034	445.94852	133.78456	244.25606
0.27778	517.62304	155.28691	283.51382
0.28393	466.23011	139.86903	255.36475
0.31657	564.29635	169.28891	309.07784
0.26938	754.96193	226.48858	413.50968
0.27963	787.33598	236.20079	431.24168
0.26404	740.63021	222.18906	405.65987
0.22950	669.51568	200.85470	366.70884
0.23062	620.40433	186.12130	339.80945
0.17990	560.34516	168.10355	306.91368
0.17470	654.56590	196.36977	358.52051
0.22096	754.79639	226.43892	413.41901
0.21158	684.22484	205.26745	374.76538
0.20190	846.18743	253.85623	463.47594
0.21496	891.27878	267.38363	488.17349
0.24130	848.72178	254.61653	464.86406
0.29531	856.98492	257.09548	469.38997
0.25742	617.37489	185.21247	338.15015
0.25794	559.33886	167.80166	306.36251
0.25970	514.28140	154.28442	281.68352
0.28058	539.84205	161.95262	295.68367
0.25808	428.71149	128.61345	234.81495
0.28282	498.60588	149.58176	273.09769
0.30379	564.74891	169.42467	309.32572
0.26325	677.78015	203.33405	371.23548
0.28309	791.43958	237.43187	433.48931
0.28616	747.30853	224.19256	409.31774
0.25849	722.45837	216.73751	395.70675
0.24608	758.61210	227.58363	415.50896
0.20483	625.35682	187.60705	342.52204
0.19585	593.05301	177.91590	324.82851
0.20284	687.37818	206.21345	376.49253
0.23642	699.52156	209.85647	383.14374
0.22497	812.81517	243.84455	445.19720
0.21982	853.78132	256.13440	467.63529
0.22092	859.00905	257.70272	470.49863
0.24162	824.96535	247.48961	451.85213
0.24908	681.82429	204.54729	373.45054
